"placename","description","image","link","lat","lon"
"Площадь коммерции","Площадь Коммерции - одна из красивейших площадей столицы Португалии Лиссабона. Ее также называют Дворцовой, потому что до землетрясения 1755 года здесь находился королевский дворец, построенный королем Мануэлем I. В центре четырехугольной площади можно увидеть конный памятник королю-реформатору Жозе I. На площади возвышается также изящная триумфальная арка, являющаяся одним из символов Лиссабона, украшенная барельефами и статуями. На месте, где был разрушенный дворец, можно увидеть здания с аркадами. На южной стороне площади находятся две квадратные башни. Находясь на площади Коммерции, можно насладиться прекрасным видом на реку Тежу, а также есть возможность попасть к реке, преодолев спуск по лестнице.","commerce_square.jpg","http://www.rutraveller.ru/place/7508",38.7083135,-9.1364929
"Монастырь Жеронимуш","Монастырь Жеронимуш считается архитектурной жемчужиной португальской столицы. Здесь буквально каждая деталь поряжает воображение своим величием, праздничностью, торжественностью. В 16 веке по приказу короля Мануэля I Удачливого началось строительство монастыря Жеронимуш,в знак благодарности Деве Марии за благополучное завершение плавания Васко да Гамы. Замок выполнен в традиционном стиле мануэлино, сочетающем готический стиль, мавританское влияние и даже элементы Ренессанса. Раньше на этом месте стояла маленькая часовня в честь Святой Марии. Теперь она разрослась до большого храма. Гравюры в церкви Святой Марии изображают сцены из жизни святого Жерома. В интерьере великолепная каменная кладка. В стенах монастыря Жеронимуш погребены многие выдающиеся деятели, в числе которых Васко да Гама, поэты Геркулано и Фернандо Пессоа, Луис Камоенс. В 1984 году монастырь Жеронимуш был включен в список Всемирного наследия ЮНЕСКО.","zheronimush.jpg","http://www.rutraveller.ru/place/1198",38.698083000000004,-9.206693
"Башня Торри де Белен","В Лиссабоне нельзя пройти мимо уникального памятника португальской архитектуры эпохи Возрождения – башни Белен, возвышающейся над водами реки Тежу. Португальцы воздвигли этот укрепленный форт в честь знаменитой экспедиции мореплавателя Васко да Гама, открывшего путь в Индию. Башня изначально задумывалась как пятиярусная крепость-маяк. Ее строительство велось в период с 1515 по 1521 год при короле Мануэле I. Именно отсюда отважные португальские мореплаватели отправились в поисках новых торговых путей. Еще некоторое время назад Башня выполняла роль тюрьмы и оружейного склада. Башня богато декорирована изображениями канатов, ажурными балконами, башенками в арабском стиле, зубчатыми стенами и даже гербами рыцарского ордена.Это великолепное сооружение, высота которого составляет 35 метров, считается ярчайшим образцом позднеготического стиля ""мануэлино"", типичного архитектуры Португалии. Начиная с XIX века этот памятник облюбовали романтики и он начал привлекать путешественников. В 1983 году башня была включена в список Всемирного наследия ЮНЕСКО.","torri_de_belen.jpg","http://www.rutraveller.ru/place/1192",38.691827,9.215967
"Памятник Первооткрывателям","Памятник сделан из известняка и железобетона, его высота составляет 54 метра, ширина основания - 20 метров. Открытие памятника состоялось в 1960 году. Монумент сделан в виде каравеллы, украшенный гербом Португалии времён королевской династии Авизов. Главная в скульптуре - фигура Энрике мореплавателя, за ним, по 16 фигур с каждой стороны, располагаются 32 фигуры людей, прославившихся во времена великих открытий. Внутри монумента находятся лекционный зал, выставочные павильоны и лифт, поднимающийся до смотровой площадки. На площади перед скульптурной композицией из гранита выложены роза ветров и карта мира с датами португальских морских экспедиций.","pioneers.jpg","http://www.rutraveller.ru/place/5550",38.693822999999995,-9.205689999999999
"Мост 25-го апреля","Мост 25-го апреля — один из двадцати самых длинных висячих мостов мира, пересекающий место впадения реки Тежу в Атлантический океан и соединяющий Лиссабон на северном (правом) и Алмаду на южном (левом) берегу. Был открыт 6 августа 1966 года. До 1974 года мост носил имя Антониу Салазара, португальского государственного и политического деятеля, но впоследствии был переименован. Строительными работами руководила американская Мостостроительная компания. Стоимость возведения моста составила 32 миллиона долларов США, в процессе строительства израсходовано 263 000 м³ бетона и 72 600 тонн стали. Полная длина моста составляет 2 277,64 метра, каждые сутки около 380 000 человек пересекают мост в обоих направлениях. На мосту были отсняты сцены из нескольких известных фильмов, в том числе - шестой фильм об английском суперагенте Джеймсе Бонде «На секретной службе Её Величества» (1969 год) – единственный, в котором главную роль исполнил Джордж Лэзенби.","bridge_25_april.jpg","http://www.rutraveller.ru/place/4239",38.689809000000004,-9.177111
"Лифт Санта Жушта","Лифт Санта Жушта, который также называют«Подъёмник Карму и Лифт Эйфеля» был спроектирован и построен в 1898 – 1902 годах португальским инженером Раулем Месньером дю Понса, учеником знаменитого Александра Густава Эйфеля. Сооружение подъёмника выполнено из чугуна, фасады декорированы в неоготическом стиле. Высота лифта составляет 45 метров. «Подъёмник Карму» - не только поражающая своей красотой ажурная конструкция посреди города, но и часть системы общественного транспорта. Лифт Санта Жушта расположен в районе Байши и доставляет горожан и гостей Лиссабона в другой район - Шиаду, перенося пассажиров на 32-метровую высоту за 5 минут. Изначально лифты перемещались посредством паровой машины, но с 1907 года они функционируют от электродвигателей. Подъемник рассчитан на два лифта. Вместимость каждого из них - 19 сидячих и 10 стоячих мест. Кстати, на вершине башни находится кафе с террасой, с которой открывается великолепнейшая панорама Лиссабона.","lift_santa_zhusta.jpg","http://www.rutraveller.ru/place/6893",38.712398,-9.139483
"Площадь Россио","Площадь Россио является одной из главных площадей Лиссабона, столицы Португалии. Можно сказать, что у этой площади два названия. Старое, еще с XIII-XIV веков, название Россио, и официальное, с 1874 года, название Площадь Дона Педро IV. Площадь вымощена темными и светлыми булыжниками таким образом, что образуется узор в виде волн, украшена роскошными бронзовыми фонтанами. На площади можно увидеть памятник королю Педро IV на высоком постаменте, а также здание Национального театра Дона Марио II. Раньше на месте театра находился дворец инквизиции.","rossio_square.jpg","http://www.rutraveller.ru/place/7503",38.714063,-9.139403
"Триумфальная арка","Триумфальная арка была построена во время восстановления Лиссабона после сильного землетрясения 1755 года. Хотя её и начали строить в этом году, закончили только в 1873. Есть мнение, что на строительство арки португальцев вдохновила французская архитектура. Спроектировал её Вериссимо да Кошта, установив на ней часы и аллегорические фигуры Славы, Изобретательности и Мужества, а также статуи реальных людей: Виритауша, Нуно Алвареша Перейра, Васко да Гама и Маркиза Помбал. Однако, оформлением арки занимались сразу несколько скульпторов, которые стремились доказать всем, что лиссабонцы все равно отсроят свой город заново, сколько бы землетрясений ни случилось.","arc_triumph.jpg","http://www.rutraveller.ru/place/5740",38.708696, -9.136771
"Лиссабонский кафедральный собор Се","Лиссабонский кафедральный собор Се, Мария Майор де Лисбоа, или Собор Се, - центральный собор Лиссабона. Он является древнейшей церковью в городе, к тому же возведенной на фундаменте мечети. Строительство началось в 1147 году, и за это время здание многократно менялось и пережило несколько землетрясений. Теперь собор является образцом сочетания сразу нескольких архитектурных стилей. В 1448 году королева Леонор основала при соборе Лиссабонский дом милосердия, и влияние этого благотворительного учреждения распространилось по всей стране, включая ее колонии. В наши дни оно продолжает свою работу. В центральном дворе собора недавно проводились археологические исследования, в ходе которых были обнаружены свидетельства римской, арабской и средневековой эпохи. А в июне собор становится центром праздника в честь Святого Антонио, который отмечается ежегодно.","cathedral.jpg","http://www.rutraveller.ru/place/1193",38.710096,-9.132595
"Крепость святого Георгия","Замок Святого Георгия, расположенный в историческом центре города, на возвышенности, является главным замком Лиссабона. Местные жители чаще всего называют этот замок ""Колыбелью города"", поскольку считается, что имено в этом месте начался отсчет истории столицы Португалии. Принято считать, что заселение этого участка началось задолго до появления римлян. На самой вершине холма стояла крепость, защищавшая реку Тагус и окрестности. В период с 5 в до н..э. и вплоть до начала 8 века крепость принадлежала вест-готам, но потом ее захватили сарацины. Часть сохранившихся до наших дней стен была построена во время господства мавров, которое продлилось вплоть до 1147 г. После изгнания мавров Афонсу Энрикеш основал свое королевство. Спустя триста лет в этом замке проходили пышные торжества по поводу возвращения Васко да Гама из Индии. После переезда резиденции королей, замок Св.Георгия служил в качестве театра, тюрьмы и арсенала. Как и многие исторические сооружения, он был сильно разрушен в ходе землетрясения 1755 года.","saint_george.jpg","http://www.rutraveller.ru/place/1197",38.7139092,-9.133476199999999
"Улица Аугушта","Одна из самых необычных и колоритных улиц Лиссабона находится в центре города. Rua Augusta - главный пешеходный бульвар, где всегда много горожан и туристов. Она соединяет триумфальную арку на Терейру-ду-Пасу с площадью Россиу. Лучшего места для неспешной пешей прогулки с необычными кафешками и интересными магазинчиками в Лиссабоне просто не найти. Улица Аугушта - это довольно широкий пешеходный бульвар, созданный еще в XVIII веке. Его мостовая вымощена вручную из небольших черных и белых плиток, образующих сложный орнамент. Эти тротуары называются кальсада и привлекают множество туристов. Здесь всегда много уличных торговцев различными сладостями, жаренными каштанами или небольшими сувенирчиками ручной работы. Здесь часто дают небольшие представления уличные артисты и циркачи. Пестрые лавки торговцев и прогуливающиеся продавцы цветов с огромными корзинами делают эту улицу необычайно яркой и запоминающейся. Улица Аугушта знаменита и своими ювелирными магазинчиками. Их легко найти по названиям: Руа-да-Прата - улица серебра и Руа-ду-Оуру - улица золота. На пересечении Rua Augusta с другими улочками расположены открытые летние кафе и кондитерские, в которых можно перекусить и полюбоваться пестрой жизнью. Здесь можно поесть и более основательно - например, в ресторане Concha d'Ouro, знаменитом своими блюдами из морепродуктов.","augusta_street.jpg","http://www.rutraveller.ru/place/4264",38.710834000000006,-9.137653
"Мост Васко-да-Гама","Длина моста Васко да Гама составляет 17,2 километра, этот удивительной красоты мост, которому не видно ни конца, ни края, является на сегодняшний день самым длинным мостом Европы. Мост проложен через чистейшую реку Тежу и глядя на него создается впечатление, что архитекторы моста при его создании думали не только о практической, но и об эстетической стороне проекта. Мосту Васко да Гама не просто так дали такое необычное название, ведь его открытие 29 марта 1998 года приурочили к 500-летней годовщине открытия великим мореплавателем Васко да Гамой пути из Европы в Индию. Мост Васко да Гама в состоянии выдерживать силу ветра до 250 км/ч и сильные землетрясения. Интересным фактом является то, что при строительстве моста пришлось учесть даже шарообразную форму Земли, иначе разница в высоте между северной и южной оконечностями моста составила бы 80 сантиметров. При строительстве моста учитывалось так же его влияние на окружающую среду: для минимизации вмешательства в естественную среду реки Тежу ночное освещение моста спроектировали таким образом, чтобы направленный свет мощных ламп не попадал на реку. Через мост Васко да Гама организовано шестиполосное автомобильное движение, а при надобности, в часы пик, добавляются ещё две разгрузочные полосы.","vasco_da_gama_bridge.jpg","http://www.rutraveller.ru/place/7673",38.758085, -9.037467
"Парк Эдуарда VII","Парк Эдуарда VII находится в Лиссабоне, столице Португалии. Ранее этот парк носил название Парк свободы, но был переименован в 1903 году, спустя год после визита в Португалию английского короля Эдуарда VII, который приезжал с целью подтвердить союз между Португалией и Англией. Крупнейший парк Лиссабона, площадью 25 гектаров, находится на склоне холма, начинающегося от площади маркиза Памбала. Великолепный парк с аллеями, вымощенными мозаикой, украшен статуями, кустами строгой геометрической формы, в нем можно увидеть беседку, пруды, ландшафтный сад. В северо-западной части парка находится оранжерея Estufa Fria, так называемая холодная оранжерея, с экзотическими растениями. В этой оранжерее есть возможность полюбоваться такими растениями, как, например, фуксии и пальмы, а также ручейками и даже небольшими водопадами. А в Estufa Quente, отапливаемой оранжерее, можно увидеть теплолюбивые растения, над которыми порхают тропические птицы. Рядом с оранжереями находится пруд, в котором водятся крупные карпы.","park_eduardo.jpg","http://www.rutraveller.ru/place/8268",38.726786700000005,-9.1542704
"Байру Алту","Квартал Байру Алту находится в Лиссабоне, столице Португалии. Этот живописный квартал был заново отстроен после страшного землетрясения 1755 года. Еще с XVI века этот район считается традиционным местом, где любят селиться представители богемы: художники, артисты, музыканты. Квартал славится своими книжными и антикварными магазинами, галереями. Он придется также по вкусу любителям ночной жизни: здесь можно найти множество модных ночных клубов, баров, ресторанов и кафе. В ресторанах и кабачках здесь можно услышать авторские песни под гитару в исполнении местных музыкантов, а также песни ""фаду"", представляющие собой смесь цыганской песни и романсов.","bairu_altu.jpg","http://www.rutraveller.ru/place/9245",38.7127532,-9.1462951
"Океанариум Лиссабона","Океанариум в Лиссабоне на момент постройки являлся самым большим океанариумом Европы. Он был создан в 1998 году в рамках проходившей в Португалии выставки «ЭКСПО-98». Здание из стекла и бетона, возвышающееся над водами реки Тежу, стало частью комплекса Васко да Гама. Инициатором создания концептуальной постройки, в которой размещается океанариум, выступил Питер Чермайефу. Этот человек также был дизайнером самого большого океанариума в мире, который находится в Осаке, а также других океанариумов по всему миру. Лиссабонский океанариум рад предложить своим посетителям посмотреть на большую коллекцию морских видов млекопитающих, рыб и других морских организмов. Всего представлено 16 000 особей 450 видов. Внутри здания располагается один главный аквариум, а вокруг него – четыре, в которых живут различные животные. Всего на первом этаже представлено 25 аквариумов.","oceanarium.jpg","http://www.rutraveller.ru/place/5019",38.761179999999996,-9.096285
"Базилика-да-Эштрела","Базилика-да-Эштрела в Лиссабоне, построенная в честь Святого Сердца Иисуса, пожалуй является одной из красивейших церквей Европы, популярной у туристов. Это величественное сооружение было возведено в XVIII веке по монаршему велению королевы Марии I, в 1790 году. Летопись гласит, что королева, в день бракосочетания, дает обещание возвести в Лиссабоне храм, если Господь дарует ей наследника. И после рождения у Марии Португальской сына Жозе, в 1779 году начинается строительство церкви. Этот удивительный памятник архитектуры Лиссабона был построен двумя архитекторами, Рейналдом душ Сантушом и Матеушу де Оливейра. Если приглядеться к фасаду здания, можно увидеть удивительное сочетание барокко и неготического стиля. Сам фасад состоит из трех частей: выступающая центральная часть в виде арок делится на фусты, колонны и капители. Вся конструкция великолепно дополняется изваяниями ангелов, шестью аллегориями и барельефами. Терраса построенная вокруг центрального купола и колоколен-близнецов, позволит насладиться прекрасным видом на Лиссабон. Сам купол Базилики-да-Эштрела, увенчанный башней с крестом и виден издалека. Внутри вы увидите гробницу королевы Марии, надгробная плита которой сделана из черно-белого мрамора. Еще одна достопримечательность - сцена Рождения Христа, состоящая из 500 миниатюрных фигурок, вырезанных из терракоты и пробкового дерева.Базилика-да-Эштрела являясь памятником архитектуры эпохи средневековья, стала историческим достоянием португальского народа.","basilica_de_estrela.jpg","http://www.rutraveller.ru/place/36915",38.71334,-9.160796000000001
"Иезуитская церковь Лиссабона","Иезуитская церковь Святого Роха находится в Лиссабоне, столице Португалии. Она названа в честь Святого Роха,защитника от чумы. Церковь была построена в 1555-1619 годах на месте, где до XVI века располагалось кладбище для жертв чумы и явилась первой церковью иезуитов в Португалии. По иезуитской традиции, церковь имеет весьма скромный внешний вид и роскошное внутреннее убранство. Прекрасный главный алтарь украшен скульптурами известнейших деятелей ордена иезуитов. Интерьер церкви выполнен из ценных пород дерева, слоновой кости, мрамора и драгоценных минералов: яшмы, агата, лазурита, аметиста. В церкви также находится богатая коллекция церковной утвари и одеяний. В структуру церкви входит капелла Иоанна Крестителя, возведенная в 1742 году. Она была создана в Италии известными скульпторами и архитекторами, а затем перевезена в Португалию на трех кораблях. Капелла украшена ценными мозаичными панно, на которых изображены библейские сцены. Здесь находятся также изразцовые панно, созданные в 1584 году в стиле португальской майолики.","saint_Roja.jpg","http://www.rutraveller.ru/place/9234",38.713759,-9.143502
"Дворец Келуш","Дворец Келуш – великолепный памятник архитектуры, достойный искреннего восхищения. Построенный королем Педро III в качестве подарка жене королеве Марии I, дворец Келуш поражает своими роскошными формами. Строительство дворца длилось несколько лет - с 1742 по 1767 годы, а вокруг него был разбит пышный сад с фонтанами и статуями. Возглавил строительство нового дворца для короля Педро III и его невесты Марии I придворный архитектор Матеуш Висенте ди Оливейра, создавший удивительное по красоте творение, которое принято считать едва ли не последним ярким образцом стиля рококо. На посетителей дворец Келуш производит грандиозное впечатление. Теперь каждый желающий может полюбоваться изысканным Тронным залом, в котором несколько веков назад разыгрывались великолепные балы и торжественные банкеты. Особую пышность добавляют огромные зеркала, прекрасные хрустальные люстры и покрытые золотом скульптуры. Затем следует музыкальный зал, в котором звучали оперы и концерты в исполнении королевского оркестра. Потолок королевской спальни сделан в форме купола и оформлен фресками со сценами из ""Дон Кихота"", а пол изготовлен из экзотических пород дерева. Самое торжественное помещение - комната для послов - пол здесь выложен из мраморных плит, а на потолке изображены картины из жизни королевской семьи. Вокруг дворца разбит пышный сад и парк, в котором раньше проводились рыцарские турниры, устраивались концерты, фейерверки и развлекательные мероприятия для королевских гостей.","kelush_palace.jpg","http://www.rutraveller.ru/place/8407",38.7507229,-9.2590824
"Акведук Aguas Livres","Акведук Aguas Livres расположен в столице Португалии, городе Лиссабон. В переводе с португальского языка, Aguas Livres означает «свободная вода». Грандиозное сооружение является замечательным примером инженерной мысли португальских архитекторов XVIII века. Основная часть виадука протяжена на 18 километров, но если учесть полную длину каналов, Aguas Livres простирается почти на 58 километров. Строительство сооружения начал король Иоанн V, во времена, когда Лиссабон страдал от острой нехватки качественной воды. Акведук был возведен в 1744 году за проектом архитектора Жозе да Силва Паиша. Центральная часть сооружения проходит над долиной Алькантара на высоте до 65 метров. 35 каменных, заостренных арок покрывают длину в почти 1 километр. Арочная структура виадука построена в готическом стиле.","aqueduc_aguash_librish.jpg","http://www.rutraveller.ru/place/110883",38.726893,-9.166417
"Национальный Пантеон","Национальный Пантеон - яркое архитектурное сооружение в стиле Португальское барокко. Его строительство было начато в конце 17 века. Благодаря тому, что церковь многократно перестраивали и очень долго не могли достроить, появилась поговорка ""работы Святой Энграсии"" - так говорят про различные долгострои. Это связано с тем, что работы над сооружением были начаты в 1682 году, а торжественное открытие здания состоялось только в 1966 году, после установки главного купола. В этом же году церковь Святой Энграсии стала Национальным Пантеоном. Здесь захоронены многие известные деятели Португалии. Все здание выполнено в едином стиле, и все его элементы хорошо гармонируют друг с другом. На крыше здания расположена смотровая площадка, с которой открывается чудесный вид на город.","national_panteon.jpg","http://www.rutraveller.ru/place/19275",38.715253999999995,-9.124694
"Монастырь Сан-Висенте-де-Фора","Монастырь Сан-Висенте-де-Фора - это одна из самых значимых достопримечательностей Португалии. Он расположен в Лиссабоне, в квартале Алфама. Церковь названа в честь покровителя Лиссабона, Св. Винсента. Его мощи покоятся на этом месте с 1173 года. Церковь, сохранившаяся здесь до настоящего времени, была построена по приказу короля Филиппа II Испанского в 1629 году. Церковь представляет собой здание, выполненное из белого известняка в стиле позднего ренессанса с двумя башнями, украшенными миниатюрными шпилями. Над входом в нишах расположены статуи Винсента, Августина и Себастьяна. Особого внимания заслуживает внутренне убранство церкви, балдахин алтаря, окруженный деревянными скульптурами, а также орган 18 века. К зданию церкви примыкает здание бывшего августинского монастыря, знаменитый изразцовой настенной живописью 18 века. Также в церкви находится пантеон королевской династии.","san_vincente_de_fora.jpg","http://www.rutraveller.ru/place/15208",38.715097,-9.127682
"Стадион ""Эштадиу да Луш""","Эштадиу да Луш является одним из лучших и современнейших стадионов Европы. Он впечатляет своими размерами и формами. На нём проводит свои домашние матчи футбольный клуб ""Бенфика"". Стадион был открыт в 2000 году. Он построен на месте старого стадиона. В переводе с португальского его название означает ""Стадион Света"". Его вместимость составляет более 65 тысяч зрителей. Сам стадион имеет овальную форму, с несколькими уровнями трибун. Крыша сооружения имеет сложную конструкцию с разными дугами и волнами. На вид стадион просто огромен. Стадион использовали для проведения матчей Чемпионата Европы 2004 года, в том числе и финала турнира. Также стадион ""Да Луш"" был утвержден исполкомом УЕФА для проведения финала Лиги Чемпионов в 2014 году.","estadio_da_lush.jpg","http://www.rutraveller.ru/place/36215",38.752945000000004,-9.184763
"Лиссабонская тюрьма","Лиссабонская тюрьма – это одно из известнейших старинных сооружений города, которое расположено возле современного здания Дворца юстиции, на улице Прогресс, возле парка имени Эдуарда VII. Тюрьма была построена в 1800 году, и до сих пор продолжает исполнять свои функции. Трудно поверить в то, что это красивое старинное ухоженное здание архитектуры является тюрьмой, потому что с виду оно напоминает древний музей. Жители Лиссабона шутят, что это самый дешёвый отель города.","prison.jpg","http://www.rutraveller.ru/place/40485",38.730298,-9.158052
